phi,psi,energy
-20,-160,-0.083296653726470
-20,-140,-0.085972444855793
-20,-120,-0.094787041300456
-20,-100,-0.102956777134383
-20,-80,-0.109940065688673
-20,-60,-0.113954778884707
-20,-40,-0.113181319108046
-20,-20,-0.110621861533772
-20,0,-0.107176928278494
-20,20,-0.105113844589966
-20,40,-0.106711049660226
-20,60,-0.110792861947646
-20,80,-0.114710683459204
-20,100,-0.116761612347004
-20,120,-0.115578875754144
-20,140,-0.112112095239020
-20,160,-0.105940233700893
-20,180,-0.095757095090837
0,-180,-0.081814437282864
0,-160,-0.088989344192742
0,-140,-0.096390797710566
0,-120,-0.102630840861021
0,-100,-0.107982115668255
0,-80,-0.111606383789697
0,-60,-0.111687462806400
0,-40,-0.109314912491966
0,-20,-0.105793739996128
0,0,-0.103269910739375
0,20,-0.103825285020000
0,40,-0.106860360926249
0,60,-0.110477115579211
0,80,-0.112870227626586
0,100,-0.111419316304088
0,120,-0.107606606288920
0,140,-0.102008067011064
0,160,-0.093740158387540
0,180,-0.081814556163216
20,-180,-0.095108569941417
20,-160,-0.102143614305491
20,-140,-0.107388309592110
20,-120,-0.111197245433731
20,-100,-0.113760711787659
20,-80,-0.114171463701582
20,-60,-0.112678761009697
20,-40,-0.109902087130265
20,-20,-0.107998893712399
20,0,-0.108187075131075
20,20,-0.109735741164757
20,40,-0.111699179436288
20,60,-0.113697452722254
20,80,-0.111638331813152
20,100,-0.106780051600056
20,120,-0.100534874890757
20,140,-0.092960720316159
20,160,-0.087811546678148
20,180,-0.095108229946594
40,-180,-0.107022520372021
40,-160,-0.112016681140142
40,-140,-0.115357372230762
40,-120,-0.117651830475587
40,-100,-0.118950507398794
40,-80,-0.119050940428420
40,-60,-0.117591554441458
40,-40,-0.115785866672307
40,-20,-0.115112835033943
40,0,-0.115249712743690
40,20,-0.115128866764788
40,40,-0.115867180713336
40,60,-0.114491630951099
40,80,-0.110183693578482
40,100,-0.104282686279692
40,120,-0.098146272548755
40,140,-0.095852896165070
40,160,-0.100582422736731
40,180,-0.107016308007040
60,-180,-0.112138929035887
60,-160,-0.115131664499865
60,-140,-0.117375487376703
60,-120,-0.119462952263607
60,-100,-0.121585770942141
60,-80,-0.122950114819532
60,-60,-0.122429737636156
60,-40,-0.120999206808112
60,-20,-0.119445689249801
60,0,-0.117203927501314
60,20,-0.115392605115548
60,40,-0.114084558694938
60,60,-0.111709217839545
60,80,-0.108197712385927
60,100,-0.104457664694174
60,120,-0.102605286461691
60,140,-0.104068426149909
60,160,-0.108079142048712
60,180,-0.112137785461840
80,-180,-0.111169635031781
80,-160,-0.112828204729836
80,-140,-0.114396357781027
80,-120,-0.116323306535890
80,-100,-0.119098709463798
80,-80,-0.121743167329732
80,-60,-0.122094005224002
80,-40,-0.119897497616488
80,-20,-0.116085122144995
80,0,-0.112302153229735
80,20,-0.109656813986893
80,40,-0.107627725891812
80,60,-0.106194001357420
80,80,-0.105338189911276
80,100,-0.104873552513335
80,120,-0.105255944843468
80,140,-0.106750795024266
80,160,-0.109081332946833
80,180,-0.111161271698275
100,-180,-0.110243753071421
100,-160,-0.111087420516829
100,-140,-0.112004069529672
100,-120,-0.113169253079528
100,-100,-0.114898788229833
100,-80,-0.116674588514044
100,-60,-0.116554171898388
100,-40,-0.113690995392198
100,-20,-0.109980260654634
100,0,-0.106654081878322
100,20,-0.103702083483823
100,40,-0.101879666814487
100,60,-0.102841753696158
100,80,-0.104629583459897
100,100,-0.105605856538732
100,120,-0.106439482116728
100,140,-0.107630458851812
100,160,-0.109068719099094
100,180,-0.110240158138516
120,-180,-0.111759956363531
120,-160,-0.111760657619928
120,-140,-0.111972329591234
120,-120,-0.112518976869719
120,-100,-0.113357493858001
120,-80,-0.113926829365811
120,-60,-0.112985978928300
120,-40,-0.110356642733955
120,-20,-0.107098357263246
120,0,-0.103575888983135
120,20,-0.100177829422581
120,40,-0.100118403891539
120,60,-0.104023974939740
120,80,-0.106840711976845
120,100,-0.108200722335355
120,120,-0.109149983193994
120,140,-0.110282913281375
120,160,-0.111369386316559
120,180,-0.111761645863527
140,-180,-0.114353863858721
140,-160,-0.113322744405495
140,-140,-0.112814665541048
140,-120,-0.112942672286359
140,-100,-0.113350968241385
140,-80,-0.113431560412928
140,-60,-0.112283941168897
140,-40,-0.109762206996021
140,-20,-0.106417277171561
140,0,-0.102396682774083
140,20,-0.098668955155812
140,40,-0.102598026205483
140,60,-0.107135586706471
140,80,-0.110203189085710
140,100,-0.111825733582432
140,120,-0.112989866211797
140,140,-0.114130818770971
140,160,-0.114824605028142
140,180,-0.114350425903093
160,-180,-0.117485532139198
160,-160,-0.115535848213101
160,-140,-0.114214127444411
160,-120,-0.113778271467964
160,-100,-0.113897071207109
160,-80,-0.113997447003215
160,-60,-0.113077889370644
160,-40,-0.110703452932220
160,-20,-0.107142322741329
160,0,-0.102716802011514
160,20,-0.102146935786674
160,40,-0.106560860118087
160,60,-0.110873765169757
160,80,-0.114031737679663
160,100,-0.115968559095047
160,120,-0.117305351021928
160,140,-0.118276962096589
160,160,-0.118630421240338
160,180,-0.117486540873586
180,-180,-0.121095617689017
180,-160,-0.118644976620053
180,-140,-0.116515719828447
180,-120,-0.115398399230725
180,-100,-0.115197960532387
180,-80,-0.115327691421090
180,-60,-0.114761313831550
180,-40,-0.112562929736220
180,-20,-0.108929415949040
180,0,-0.104651286084869
180,20,-0.107547803418448
180,40,-0.111201104409771
180,60,-0.115016326535787
180,80,-0.118094232512106
180,100,-0.120181528933638
180,120,-0.121581886364113
180,140,-0.122467927868774
180,160,-0.122504119202723
180,180,-0.121088355329372
